Rezulatate :
             nr         latime        lungime           arie      perimetru     raportul n

              1           5.98            8.8        52.6240          29.56         4.0749
              2           5.98           8.68        51.9064          29.32         4.0696
              3           9.82           2.52        24.7464          24.68         4.9612
              4           5.55           5.85        32.4675          22.80         4.0014
              5          11.85           5.85        69.3225          35.40         4.2517
              6           6.35           9.15        58.1025          31.00         4.0669
              7           6.35            9.1        57.7850          30.90         4.0649
              8           6.35           9.05        57.4675          30.80         4.0629
              9           6.35           8.75        55.5625          30.20         4.0515
             10           6.35           9.45        60.0075          31.60         4.0793
             11           5.95            3.9        23.2050          19.70         4.0895
             12            5.9           4.05        23.8950          19.90         4.0710
             13            5.9           8.28        48.8520          28.36         4.0576
             14            5.9           8.74        51.5660          29.28         4.0775
             15            9.0          18.75       168.7500          55.50         4.2724
